label,cold_n,warm_n,init_p50_ms,init_p90_ms,cold_total_p50_ms,cold_total_p90_ms,warm_p50_ms,warm_p90_ms,billed_p50_ms,client_p50_ms
slide03-python-baseline,30,30,62.955,80.476,64.75999999999999,82.436,1.13,1.2009999999999998,25.5,930.472
slide05-go,30,30,62.66,76.19,65.6,79.62400000000001,0.87,1.018,28.5,981.5319999999999
slide05-python,30,30,63.67,66.603,65.62,68.618,1.375,1.43,25.5,950.7135000000001
slide06-arm64,30,30,63.415,69.14099999999999,65.215,71.286,1.36,1.46,23.5,979.75
slide06-x86,30,30,83.08500000000001,91.199,85.09,93.146,1.4849999999999999,1.605,41.0,1027.5549999999998
slide07-eager-report,30,30,1795.835,2249.005,1815.13,2266.5730000000003,2.0,2.2130000000000005,704.5,1811.5475000000001
slide07-eager-simple,30,30,1794.94,1923.751,1796.695,1925.7769999999998,1.205,1.31,691.5,1921.8310000000001
slide07-lazy-report,30,30,64.655,78.74000000000001,6800.5599999999995,7122.551000000001,1.7,1.811,2516.5,3657.727
slide07-lazy-simple,30,30,65.045,68.16900000000001,66.875,69.98400000000001,1.35,1.452,24.5,1105.0805
slide08-1024mb,30,30,70.375,73.57600000000001,321.40999999999997,335.34799999999996,256.29,280.905,266.5,1206.6145
slide08-128mb,30,30,68.67500000000001,72.834,2129.0,2168.072,2081.74,2276.193,2120.0,3123.3360000000002
slide08-1769mb,30,30,69.065,85.416,236.615,254.91299999999998,167.035,177.67,170.0,1112.726
slide08-512mb,30,30,69.6,89.605,577.55,624.8739999999999,508.58000000000004,553.721,558.0,1491.8065000000001
slide09-fat,30,30,63.739999999999995,65.933,65.56,68.413,1.37,1.45,24.5,1131.1985
slide09-slim,30,30,62.905,75.74700000000001,64.745,77.836,1.53,1.6429999999999998,24.5,1011.866
slide10-go,30,30,49.905,60.928999999999995,54.349999999999994,65.737,3.465,4.269,29.0,987.323
slide10-python-arm64,30,30,1949.685,2002.2340000000002,1990.65,2054.143,42.19,50.258,768.5,1801.265
slide10-python-baseline,30,30,2407.1549999999997,2511.159,2457.8599999999997,2557.8589999999995,46.755,56.418,1042.5,2126.524
slide10-python-optimized,30,30,69.60499999999999,85.93800000000002,82.345,103.34100000000001,11.81,12.666000000000002,34.5,936.201
